#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
REVOLUTIONARY_KINGDOM;Revolutionary [new_ruler.GetRandomFreeTag][Prev.GetName];;;;;;;;;x

tooltip_not_already_spread_revolution;Has not already waged war to spread the revolution;;;;;;;;;x
tooltip_start_spread_revolution;Begin preparations for war;;;;;;;;;x

spread_revolution_decision;Prepare to Spread the Revolution;;;;;;;;;x
spread_revolution_decision_desc;Neo-Socialist rulers can overthrow a capitalist ruler and install a pro-socialist ruler in their place. Such a massive undertaking is only feasible to do once in a lifetime.;;;;;;;;;x

cancel_spread_revolution_decision;Cancel Preparations to Spread Revolution;;;;;;;;;x
cancel_spread_revolution_decision_desc;Cancel your plans to spread the revolution. You can choose to do so at a more opportune time if you wish.;;;;;;;;;x

cb_spread_revolution;Spread the Revolution;;;;;;;;;x
cb_spread_revolution_desc;Militarily overthrow a capitalist regime in a violent revolution aided by your troops.;;;;;;;;;x
CB_NAME_SPREAD_REVOLUTION;Spread Revolution;;;;;;;;;x
WAR_NAME_SPREAD_REVOLUTION;Revolutionary War;;;;;;;;;x

cb_socialist_intervention;Socialist Intervention;;;;;;;;;x
cb_socialist_intervention_desc;Curb the power of potentially crypto-capitalist rulers by taking jurisdiction over one of their sectors.;;;;;;;;;x
CB_NAME_SOCIALIST_INTERVENTION;Socialist Intervention;;;;;;;;;x
WAR_NAME_SOCIALIST_INTERVENTION;Intervention War;;;;;;;;;x


### events neo_socialist_flavor.100 upto neo_socialist_flavor.199

TITLE_neo_socialist_flavor_100;Spreading the Revolution;La reconquête ibérique;Die iberische Rückeroberung;;La Reconquista ibérica;;;;;x
